sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;Desvio
Masculino;30;Superior completo;Ciência da computação;2010;11;11;Desenvolvedor;Ágil;5;5; ;6;6;4;7;5;6;5;5;5;5;5;6;5;5;6;7;6;6;5;0,772328446
Masculino;27;Superior completo;Análise e Desenvolvimento de Sistemas;2017;3;1;Desenvolvedor;Ágil;60;35; ;7;7;6;7;7;7;6;5;7;7;5;7;5;7;6;7;7;7;7;0,772328446
Masculino;35;Superior completo;Ciência da computação;2006;12;10;Desenvolvedor;Híbrida;24;6; ;5;7;6;7;6;6;7;6;6;6;4;6;6;7;7;6;6;6;5;0,779863536
Masculino;30;Superior completo;Sistemas de Informação;2015;13;13;Desenvolvedor;Ágil;10;10; ;6;6;7;6;4;6;7;5;6;6;5;6;6;5;6;7;6;6;7;0,779863536
Masculino;22;Superior completo;Sistemas de Informação;2019;1;1;Desenvolvedor;Ágil;42;15; ;6;7;5;5;6;5;7;6;6;5;5;6;7;6;7;7;7;6;6;0,779863536
Masculino;23;Superior incompleto;Sistemas de Informação;2020;4;1;Analista;Ágil;4;10; ;6;6;5;6;6;5;6;7;6;5;5;6;7;5;5;7;6;7;7;0,779863536
Feminino;23;Superior incompleto;Ti;2016;1;1;Analista;Híbrida;12;2; ;4;5;4;4;5;4;5;4;4;5;4;6;6;4;5;6;5;6;5;0,787326515
Masculino;33;Mestrado;Engenharia de Software;2016;9;9;Desenvolvedor;Ágil;36;24; ;7;6;6;5;5;6;6;6;6;6;4;5;5;6;6;7;7;6;5;0,787326515
Masculino;33;Superior completo;Ciência da computação;2009;11;11;Desenvolvedor;Ágil;5;3; ;6;7;6;6;6;4;7;6;6;7;7;6;6;5;7;7;6;7;7;0,805681579
Masculino;43;Superior completo;Ciência da computação;2011;27;17;Desenvolvedor;Ágil;4;4; ;6;6;6;5;5;5;5;5;5;6;5;6;7;6;7;7;7;6;7;0,809302638
Masculino;31;Doutorado;Ciência da computação;2020;8;6;Analista;Ágil;3;2; ;5;7;6;5;5;6;7;7;6;6;6;6;5;6;7;7;7;5;7;0,809302638
Masculino;25;Especialização;Sistemas de Informação;2012;7;6;Desenvolvedor;Híbrida;3;3; ;7;5;7;6;5;6;7;6;6;7;7;5;5;5;6;7;7;6;6;0,809302638
Masculino;27;Superior completo;Sistemas de Informação;2013;9;9;Analista;Ágil;48;40; ;6;6;6;4;5;5;7;5;6;6;7;5;5;6;6;5;7;5;6;0,820069887
Masculino;40;Especialização;Sistemas de Informação;2020;16;16;Analista;Ágil;60;12; ;7;7;7;7;5;4;7;7;7;7;7;6;7;7;7;7;7;7;7;0,820069887
Masculino;37;Mestrado;Engenharia da Computação;2018;17;4;Desenvolvedor;Híbrida;8;8; ;6;6;5;5;6;5;5;5;6;4;6;6;7;4;6;6;6;7;6;0,830697586
Feminino;19;Superior incompleto;Ciência da computação;2021;2;2;Desenvolvedor;Ágil;3;3; ;7;6;6;6;6;5;7;6;7;6;7;5;4;5;5;6;6;6;5;0,834210065
Masculino;36;Superior completo;Engenharia da Computação;2010;13;7;Desenvolvedor;Híbrida;18;18; ;5;6;5;6;6;7;6;5;4;6;6;6;5;5;7;7;6;7;6;0,834210065
Feminino;24;Superior completo;Ciência da computação;2016;6;6;DBA;Híbrida;60;14; ;5;6;4;4;5;4;4;4;4;5;6;5;4;4;5;6;6;5;6;0,834210065
Masculino;25;Superior incompleto;Sistemas de Informação;2019;8;4;Desenvolvedor;Híbrida;10;9; ;7;7;7;6;6;4;6;6;7;6;6;7;7;5;7;7;7;7;7;0,837707817
Masculino;34;Especialização;Sistemas para internet;2010;15;6;Designer;Híbrida;7;7; ;7;7;5;7;7;4;6;6;7;7;7;7;7;7;6;7;7;7;7;0,837707817
